name,rho_oos,rho_is,abs_rho_oos
rank_sum_4,0.2825477394606467,0.24604795621564426,0.2825477394606467
bb_extreme,0.27147828576870575,0.2183408947673175,0.27147828576870575
0.5*stoch+0.5*zscore20,0.26529778220513567,0.22989315434452362,0.26529778220513567
0.5*williams+0.5*zscore20,0.26529778220513567,0.22989315434452362,0.26529778220513567
combo3_sto_rsi_zsc_0.6,0.26471440258799,0.2368565093879141,0.26471440258799
combo3_wil_rsi_zsc_0.6,0.26471440258799,0.2368565093879141,0.26471440258799
combo3_wil_rsi_zsc_0.5,0.2644152793473101,0.2328286054770141,0.2644152793473101
combo3_sto_rsi_zsc_0.5,0.2644152793473101,0.2328286054770141,0.2644152793473101
combo3_wil_bb_zsc_0.4,0.26342140027185745,0.2268634347925079,0.26342140027185745
combo3_sto_bb_zsc_0.4,0.26342140027185745,0.2268634347925079,0.26342140027185745
0.3*stoch+0.7*zscore20,0.26295207450140284,0.2296006897654338,0.26295207450140284
0.3*williams+0.7*zscore20,0.26295207450140284,0.2296006897654338,0.26295207450140284
composite_4,0.2625950984311581,0.22828515579833875,0.2625950984311581
0.7*stoch+0.3*sma7,0.26047372328738977,0.19414142238872983,0.26047372328738977
0.7*williams+0.3*sma7,0.26047372328738977,0.19414142238872983,0.26047372328738977
stoch_extreme,0.25948037019902737,0.22997502267520262,0.25948037019902737
williams_extreme,0.25948037019902737,0.22997502267520262,0.25948037019902737
sma20*atr_inv,0.25926846755507665,0.23432170722427084,0.25926846755507665
sma20/atr,0.25926846755507665,0.23432170722427084,0.25926846755507665
0.7*stoch+0.3*rsi,0.2592282207339043,0.23170792783662797,0.2592282207339043
0.7*williams+0.3*rsi,0.2592282207339043,0.23170792783662797,0.2592282207339043
prod_st_wi_rs,0.2588905330454937,0.2283384620357545,0.2588905330454937
combo3_sto_wil_rsi_0.5,0.258340047292021,0.2304702250724546,0.258340047292021
combo3_sto_wil_rsi_0.4,0.258340047292021,0.2304702250724546,0.258340047292021
combo3_sto_wil_rsi_0.6,0.258340047292021,0.2304702250724546,0.258340047292021
combo3_sto_rsi_zsc_0.4,0.25812212660398093,0.22935842090955763,0.25812212660398093
combo3_wil_rsi_zsc_0.4,0.25812212660398093,0.22935842090955763,0.25812212660398093
combo3_sto_bb_zsc_0.5,0.2578265220910712,0.22747056401614021,0.2578265220910712
combo3_wil_bb_zsc_0.5,0.2578265220910712,0.22747056401614021,0.2578265220910712
sma7/atr,0.25781513135025624,0.21514409227567355,0.25781513135025624
sma7*atr_inv,0.25781513135025624,0.21514409227567355,0.25781513135025624
composite_stoch_0.35,0.2576723340388263,0.2278941334065462,0.2576723340388263
rank_prod_2,0.25718966970381674,0.2324294627072979,0.25718966970381674
0.7*rsi+0.3*sma7,0.25710348669852906,0.21502032199925622,0.25710348669852906
0.3*williams+0.7*bb,0.25662339721488175,0.22446392860298006,0.25662339721488175
0.3*stoch+0.7*bb,0.25662339721488175,0.22446392860298006,0.25662339721488175
composite_stoch_0.4,0.25529550005640556,0.23060604494192,0.25529550005640556
composite_stoch_0.3,0.25500277646948527,0.22724142528747132,0.25500277646948527
combo3_sto_bb_rsi_0.4,0.25396515633432415,0.23032929722332757,0.25396515633432415
combo3_wil_bb_rsi_0.4,0.25396515633432415,0.23032929722332757,0.25396515633432415
0.7*zscore20+0.3*sma7,0.25361709463571847,0.19767421245050112,0.25361709463571847
poly_quad,0.25355909492590134,0.22839288177966494,0.25355909492590134
0.7*stoch+0.3*williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
0.3*stoch+0.7*williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
stoch*williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
sign_williams*williams^2,0.25288331313214635,0.22564847850847697,0.25288331313214635
sqrt_stoch,0.25288331313214635,0.22564847850847697,0.25288331313214635
sign_stoch*stoch^2,0.25288331313214635,0.22564847850847697,0.25288331313214635
williams^2,0.25288331313214635,0.22564847850847697,0.25288331313214635
stoch/williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
sqrt_williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
stoch^2,0.25288331313214635,0.22564847850847697,0.25288331313214635
0.5*stoch+0.5*williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
prod_st_bb_rs,0.25279706496601806,0.22983007937716404,0.25279706496601806
prod_wi_bb_rs,0.25279706496601806,0.22983007937716404,0.25279706496601806
composite_stoch_0.5,0.25276352621444903,0.2302363057987177,0.25276352621444903
combo3_sto_bb_zsc_0.6,0.2522733958668301,0.23171228271672414,0.2522733958668301
combo3_wil_bb_zsc_0.6,0.2522733958668301,0.23171228271672414,0.2522733958668301
composite_stoch_0.45,0.252089796214381,0.23177767140508534,0.252089796214381
williams_div_vix_inv,0.2516261689793523,0.2087003319716876,0.2516261689793523
stoch_div_vix_inv,0.2516261689793523,0.2087003319716876,0.2516261689793523
0.5*stoch+0.5*bb,0.2510457097275978,0.22750631987377187,0.2510457097275978
0.5*williams+0.5*bb,0.2510457097275978,0.22750631987377187,0.2510457097275978
rsi_williams_sum,0.2507818357250782,0.2224458509716495,0.2507818357250782
0.5*stoch+0.5*rsi,0.2507818357250782,0.2224458509716495,0.2507818357250782
0.5*williams+0.5*rsi,0.2507818357250782,0.2224458509716495,0.2507818357250782
combo3_wil_bb_rsi_0.5,0.250776162536252,0.2301978977208771,0.250776162536252
combo3_sto_bb_rsi_0.5,0.250776162536252,0.2301978977208771,0.250776162536252
combo3_sto_wil_bb_0.5,0.25073369847261473,0.23107764898722127,0.25073369847261473
momentum_0.6_0.2,0.25073369847261473,0.23107764898722127,0.25073369847261473
combo3_sto_wil_bb_0.6,0.25073369847261473,0.23107764898722127,0.25073369847261473
combo3_sto_wil_bb_0.4,0.25073369847261473,0.23107764898722127,0.25073369847261473
0.7*stoch+0.3*zscore20,0.2506648148272462,0.2312487008189684,0.2506648148272462
0.7*williams+0.3*zscore20,0.2506648148272462,0.2312487008189684,0.2506648148272462
combo3_sto_bb_rsi_0.6,0.25065369601209453,0.23356644659045014,0.25065369601209453
combo3_wil_bb_rsi_0.6,0.25065369601209453,0.23356644659045014,0.25065369601209453
combo3_sto_wil_zsc_0.4,0.2500107570638531,0.22870741545036993,0.2500107570638531
combo3_sto_wil_zsc_0.5,0.2500107570638531,0.22870741545036993,0.2500107570638531
combo3_sto_wil_zsc_0.6,0.2500107570638531,0.22870741545036993,0.2500107570638531
momentum_0.5_0.25,0.24957562515617546,0.23139575169499757,0.24957562515617546
0.7*williams+0.3*bb,0.24920067690775247,0.2326989741213696,0.24920067690775247
momentum_0.4_0.3,0.24920067690775247,0.2326989741213696,0.24920067690775247
0.7*stoch+0.3*bb,0.24920067690775247,0.2326989741213696,0.24920067690775247
poly_triple,0.2490257512546316,0.23277569204667276,0.2490257512546316
poly_stoch_bb,0.24882995036604894,0.226710031685361,0.24882995036604894
extreme_composite,0.24882975697396822,0.22688602777947295,0.24882975697396822
harm_rsi_stoch,0.24753806038767276,0.22302468992621272,0.24753806038767276
combo3_bb_rsi_zsc_0.6,0.24730915742827647,0.2243652725598993,0.24730915742827647
williams*rsi,0.24568702154989713,0.22259176443971238,0.24568702154989713
rsi_stoch_prod,0.24568702154989713,0.22259176443971238,0.24568702154989713
stoch*rsi,0.24568702154989713,0.22259176443971238,0.24568702154989713
0.3*rsi+0.7*zscore20,0.24565767523654483,0.22337281830640474,0.24565767523654483
combo3_bb_rsi_zsc_0.5,0.24444714303072823,0.2229542586652823,0.24444714303072823
rank_weighted,0.24401790441630347,0.23109627128108506,0.24401790441630347
harm_stoch_bb,0.24376889447074807,0.22162982065212838,0.24376889447074807
0.7*stoch+0.3*sma20,0.24251130264113932,0.19689537652593425,0.24251130264113932
0.7*williams+0.3*sma20,0.24251130264113932,0.19689537652593425,0.24251130264113932
bb^2,0.24235495869764695,0.22103843885756316,0.24235495869764695
sqrt_bb,0.24235495869764695,0.22103843885756316,0.24235495869764695
williams*bb,0.24231643257140084,0.2229578213839131,0.24231643257140084
stoch*bb,0.24231643257140084,0.2229578213839131,0.24231643257140084
0.5*zscore20+0.5*sma7,0.2422728897088795,0.18248923670706269,0.2422728897088795
0.5*williams+0.5*sma20,0.24191338014558764,0.18407483872703873,0.24191338014558764
0.5*stoch+0.5*sma20,0.24191338014558764,0.18407483872703873,0.24191338014558764
0.3*bb+0.7*zscore20,0.24155758501653152,0.22130529805142593,0.24155758501653152
0.7*bb+0.3*zscore20,0.24155758501653152,0.22130529805142593,0.24155758501653152
0.5*bb+0.5*zscore20,0.24155758501653152,0.22130529805142593,0.24155758501653152
sign_zscore20*zscore20^2,0.24155758501653152,0.22130529805142593,0.24155758501653152
sign_bb*bb^2,0.24155758501653152,0.22130529805142593,0.24155758501653152
0.5*zscore50+0.5*sma7,0.24065228672238437,0.1521488525639966,0.24065228672238437
0.7*bb+0.3*rsi,0.23986199355831062,0.2239508713381168,0.23986199355831062
combo3_sto_bb_roc_0.4,0.23982305980047075,0.23150514759275162,0.23982305980047075
combo3_wil_bb_roc_0.4,0.23982305980047075,0.23150514759275162,0.23982305980047075
geom_triple,0.23860656766805502,0.22896373696460712,0.23860656766805502
prod_st_wi_bb,0.23860656766805502,0.22896373696460712,0.23860656766805502
0.5*williams+0.5*sma7,0.23668982461878843,0.1855502590062358,0.23668982461878843
0.5*stoch+0.5*sma7,0.23668982461878843,0.1855502590062358,0.23668982461878843
combo3_bb_rsi_zsc_0.4,0.2353204036454514,0.21792394648923935,0.2353204036454514
0.5*rsi+0.5*zscore20,0.23518506690821042,0.21460415263066776,0.23518506690821042
0.3*williams+0.7*rsi,0.23515269313645498,0.21518996586225045,0.23515269313645498
0.3*stoch+0.7*rsi,0.23515269313645498,0.21518996586225045,0.23515269313645498
0.7*bb+0.3*sma7,0.23421415918626137,0.20030010691811082,0.23421415918626137
0.3*sma7+0.7*sma20,0.23344244928578745,0.1753885228516165,0.23344244928578745
stoch_pos,0.23332595101510675,0.22932457219239322,0.23332595101510675
williams_pos,0.23332595101510675,0.22932457219239322,0.23332595101510675
0.3*zscore50+0.7*sma7,0.23328851087614738,0.16603826785055553,0.23328851087614738
0.7*zscore50+0.3*sma7,0.2329645068533377,0.15721370908967452,0.2329645068533377
combo3_wil_bb_roc_0.5,0.2328784314325974,0.2262742817280695,0.2328784314325974
combo3_sto_bb_roc_0.5,0.2328784314325974,0.2262742817280695,0.2328784314325974
0.5*bb+0.5*sma20,0.2326999992578592,0.18237633725915608,0.2326999992578592
0.7*rsi+0.3*zscore20,0.2324383070749329,0.21003427898028107,0.2324383070749329
combo3_bb_roc_zsc_0.6,0.23149747504123583,0.22932819869655943,0.23149747504123583
zscore_rsi,0.23038991391668712,0.21814637280873753,0.23038991391668712
rsi*zscore20,0.23038991391668712,0.21814637280873753,0.23038991391668712
rsi_x_zscore20,0.23038991391668712,0.21814637280873753,0.23038991391668712
combo3_sto_bb_roc_0.6,0.23020946870434206,0.22561148862350872,0.23020946870434206
combo3_wil_bb_roc_0.6,0.23020946870434206,0.22561148862350872,0.23020946870434206
combo3_bb_rsi_roc_0.5,0.22984214256751584,0.2312649088313564,0.22984214256751584
atr_adj_stoch,0.2295616463710668,0.22656367722198062,0.2295616463710668
atr_adj_zscore,0.2291202630795576,0.2362265579731011,0.2291202630795576
0.7*zscore20+0.3*sma20,0.22908976418766874,0.19444524894822096,0.22908976418766874
0.7*bb+0.3*sma20,0.2290615237132147,0.19587008058269195,0.2290615237132147
rsi_bb_prod,0.22902759345231213,0.22168266642066134,0.22902759345231213
bb*rsi,0.22902759345231213,0.22168266642066134,0.22902759345231213
0.5*bb+0.5*sma7,0.2289742908657053,0.19001473146091155,0.2289742908657053
0.3*williams+0.7*sma20,0.22876723974230223,0.1725853880384388,0.22876723974230223
0.3*stoch+0.7*sma20,0.22876723974230223,0.1725853880384388,0.22876723974230223
0.3*zscore20+0.7*sma7,0.22816111234303155,0.18173885484868807,0.22816111234303155
combo3_bb_rsi_roc_0.6,0.22816081590092305,0.2295571737079315,0.22816081590092305
bb*vix_inv,0.22727611886995386,0.17621473856189124,0.22727611886995386
combo3_sto_roc_zsc_0.5,0.2269183750387828,0.2224324588967673,0.2269183750387828
combo3_wil_roc_zsc_0.5,0.2269183750387828,0.2224324588967673,0.2269183750387828
combo3_bb_rsi_roc_0.4,0.2264970298368308,0.23644145329694422,0.2264970298368308
zscore20/atr,0.22589486281109292,0.23729297970131172,0.22589486281109292
zscore20*atr_inv,0.22589486281109292,0.23729297970131172,0.22589486281109292
0.5*bb+0.5*rsi,0.22583451984178643,0.21790872078063248,0.22583451984178643
0.5*sma7+0.5*sma20,0.22571930338870735,0.1751497248024335,0.22571930338870735
0.3*bb+0.7*rsi,0.22504198693390257,0.21127240740942618,0.22504198693390257
combo3_wil_roc_zsc_0.6,0.2236953177096034,0.22372274765668837,0.2236953177096034
combo3_sto_roc_zsc_0.6,0.2236953177096034,0.22372274765668837,0.2236953177096034
rsi_pos,0.2228221200031962,0.2112762857357739,0.2228221200031962
0.5*rsi+0.5*sma20,0.22265757024471516,0.16919935416156234,0.22265757024471516
0.7*stoch+0.3*zscore50,0.22230722244790352,0.20404818522523763,0.22230722244790352
0.7*williams+0.3*zscore50,0.22230722244790352,0.20404818522523763,0.22230722244790352
sign_sma7*sma7^2,0.22196680761978627,0.17231109607929912,0.22196680761978627
combo3_sto_rsi_roc_0.4,0.2214290652991747,0.2293318659640088,0.2214290652991747
combo3_wil_rsi_roc_0.4,0.2214290652991747,0.2293318659640088,0.2214290652991747
ratio_composite_2,0.22104340185748833,0.15433526578243753,0.22104340185748833
extreme_momentum,0.22063291716443012,0.21190226059386108,0.22063291716443012
0.3*zscore20+0.7*sma20,0.21957211943641414,0.17049596240914172,0.21957211943641414
sma20*vix_inv,0.2193998011128484,0.1522611953730939,0.2193998011128484
combo3_wil_rsi_roc_0.5,0.21920908701068229,0.22548152983327052,0.21920908701068229
combo3_sto_rsi_roc_0.5,0.21920908701068229,0.22548152983327052,0.21920908701068229
zscore20_extreme,0.21904427597648873,0.20533738836186627,0.21904427597648873
vix_adj_bb,0.21853956020323415,0.1822321023206327,0.21853956020323415
bb/vix,0.21853956020323415,0.1822321023206327,0.21853956020323415
0.3*rsi+0.7*zscore50,0.21852880429040428,0.1949055565000397,0.21852880429040428
stoch/atr,0.2183704313322198,0.22460060553285352,0.2183704313322198
williams*atr_inv,0.2183704313322198,0.22460060553285352,0.2183704313322198
stoch*atr_inv,0.2183704313322198,0.22460060553285352,0.2183704313322198
williams/atr,0.2183704313322198,0.22460060553285352,0.2183704313322198
williams_x_atr_inv,0.2183704313322198,0.22460060553285352,0.2183704313322198
stoch_x_atr_inv,0.2183704313322198,0.22460060553285352,0.2183704313322198
combo3_sto_rsi_roc_0.6,0.21828027216466445,0.22681392668194092,0.21828027216466445
combo3_wil_rsi_roc_0.6,0.21828027216466445,0.22681392668194092,0.21828027216466445
0.5*zscore20+0.5*sma20,0.21767293553745834,0.17671888960580595,0.21767293553745834
0.3*rsi+0.7*sma20,0.21699518526844502,0.16464536108896996,0.21699518526844502
sma20_pos,0.2165389892617305,0.19271353103770644,0.2165389892617305
zscore50_extreme,0.21641608299139836,0.20522775425642933,0.21641608299139836
rsi*sma20,0.21626908210558407,0.17102496573871803,0.21626908210558407
combo3_sto_wil_roc_0.6,0.21595110174923385,0.22235446397654876,0.21595110174923385
combo3_sto_wil_roc_0.4,0.21595110174923385,0.22235446397654876,0.21595110174923385
combo3_sto_wil_roc_0.5,0.21595110174923385,0.22235446397654876,0.21595110174923385
combo3_rsi_roc_zsc_0.6,0.21542475580716963,0.2191243217097313,0.21542475580716963
0.3*bb+0.7*sma7,0.21520719616347037,0.1771147580295852,0.21520719616347037
zscore20_pos,0.21516596896795698,0.23592069290674075,0.21516596896795698
0.3*roc7+0.7*zscore20,0.21407048010218696,0.2204084874427502,0.21407048010218696
sma20/vix,0.21404801189541117,0.15159568456140549,0.21404801189541117
stoch_x_zscore20,0.21301786151164262,0.22637555415981286,0.21301786151164262
williams_x_zscore20,0.21301786151164262,0.22637555415981286,0.21301786151164262
stoch*zscore20,0.21301786151164262,0.22637555415981286,0.21301786151164262
